time,"Strain_Gauge_7","Strain_Gauge_8","Strain_Gauge_9","Vault_temp"
"2022-12-16 18:20","16536.877815755208","91524.48053385416","81703.86119791666","21.11627934773763"
"2022-12-16 18:30","16531.59845377604","91512.07884114583","81689.39095052083","20.956965764363606"
"2022-12-16 18:40","16536.390852864584","91529.29563802083","81703.062890625","21.018369674682617"
"2022-12-16 18:50","16543.71290690104","91540.95807291666","81715.604296875","21.13505662282308"
"2022-12-16 19:00","16543.232047526042","91534.55065104166","81712.38880208334","21.125756581624348"
"2022-12-16 19:10","16535.80068359375","91521.65299479167","81697.29466145833","21.014838282267252"
"2022-12-16 19:20","16537.218782552085","91508.13912760417","81688.79407552084","20.95815518697103"
"2022-12-16 19:30","16543.357161458334","91526.63404947917","81708.97447916666","21.018754323323567"
"2022-12-16 19:40","16546.07705078125","91539.50598958334","81717.3171875","21.12855402628581"
"2022-12-16 19:50","16539.29324544271","91519.49225260416","81701.47018229167","21.00032615661621"
"2022-12-16 20:00","16543.303662109374","91515.1103515625","81694.12259114583","20.97312157948812"
"2022-12-16 20:10","16548.81173502604","91527.6705078125","81699.6095703125","21.124776204427082"
"2022-12-16 20:20","16561.8666015625","91538.91028645834","81708.4390625","21.226491928100586"
"2022-12-16 20:30","16571.08543294271","91546.617578125","81716.25703125","21.281426747639973"
"2022-12-16 20:40","16572.876904296874","91557.91236979167","81722.06204427083","21.333738962809246"
"2022-12-16 20:50","16580.489485677084","91560.6794921875","81728.17434895833","21.33538246154785"
"2022-12-16 21:00","16586.289876302082","91563.42864583334","81731.87858072917","21.320451100667317"
"2022-12-16 21:10","16586.294775390626","91569.3552734375","81736.419140625","21.337445576985676"
"2022-12-16 21:20","16586.783935546875","91571.26822916667","81739.84016927083","21.36440594991048"
"2022-12-16 21:30","16589.012353515624","91584.81979166667","81753.55091145834","21.340138117472332"
"2022-12-16 21:40","16586.717350260416","91589.4537109375","81761.22174479166","21.253172556559246"
"2022-12-16 21:50","16575.105061848957","91572.58203125","81748.6142578125","21.18477751413981"
"2022-12-16 22:00","16560.07664388021","91549.4953125","81726.1201171875","20.996339797973633"
"2022-12-16 22:10","16556.790755208334","91543.95260416667","81721.09602864583","21.046239217122395"
"2022-12-16 22:20","16553.978125","91549.829296875","81723.983984375","21.16400852203369"
"2022-12-16 22:30","16558.75411783854","91556.084765625","81727.96087239584","21.231667200724285"
"2022-12-16 22:40","16565.731412760415","91558.712109375","81731.93079427084","21.264572143554688"
"2022-12-16 22:50","16565.8859375","91564.39407552083","81735.8123046875","21.326220830281574"
"2022-12-16 23:00","16568.249430338543","91567.30390625","81738.62122395834","21.32768948872884"
"2022-12-16 23:10","16576.010302734376","91567.52877604167","81741.03365885417","21.326395670572918"
"2022-12-16 23:20","16579.649869791665","91580.057421875","81750.8142578125","21.299190521240234"
"2022-12-16 23:30","16575.381380208335","91596.76946614584","81763.92063802083","21.244710286458332"
"2022-12-16 23:40","16558.92433268229","91587.8177734375","81755.721875","21.20684051513672"
"2022-12-16 23:50","16543.119970703126","91559.27356770834","81732.29713541667","21.049386342366535"
"2022-12-17 00:00","16541.004052734374","91545.478515625","81722.18567708334","21.031517664591473"
"2022-12-17 00:10","16545.675520833334","91547.380859375","81724.533203125","21.148273595174153"
"2022-12-17 00:20","16556.29755859375","91554.20423177084","81729.32200520833","21.23554865519206"
"2022-12-17 00:30","16560.79122721354","91559.4203125","81734.26087239584","21.289364496866863"
"2022-12-17 00:40","16558.746875","91568.17096354166","81738.2599609375","21.327374776204426"
"2022-12-17 00:50","16562.4111328125","91570.84694010417","81740.90559895833","21.335347493489582"
"2022-12-17 01:00","16569.80841471354","91570.31529947916","81743.43196614583","21.34255091349284"
"2022-12-17 01:10","16575.950553385417","91577.3138671875","81746.74576822917","21.3103453318278"
"2022-12-17 01:20","16572.258919270833","91597.91458333333","81761.09921875","21.28897984822591"
"2022-12-17 01:30","16567.248649088542","91604.2193359375","81766.45494791666","21.275691986083984"
"2022-12-17 01:40","16558.05517578125","91578.75240885417","81751.53430989584","21.181281407674152"
"2022-12-17 01:50","16547.976888020832","91552.53385416667","81728.48313802083","21.009557723999023"
"2022-12-17 02:00","16550.26728515625","91554.14153645834","81727.583203125","21.119391886393228"
"2022-12-17 02:10","16550.159244791666","91562.0755859375","81732.20286458333","21.232786178588867"
"2022-12-17 02:20","16556.149869791665","91565.81901041667","81736.15338541666","21.280587514241535"
"2022-12-17 02:30","16566.685319010416","91567.20338541667","81738.38912760417","21.299715042114258"
"2022-12-17 02:40","16570.002815755208","91576.91165364583","81743.05885416667","21.342411041259766"
"2022-12-17 02:50","16570.261149088543","91586.49694010416","81747.50657552083","21.358006795247395"
"2022-12-17 03:00","16572.77325846354","91591.848828125","81753.84661458334","21.347026824951172"
"2022-12-17 03:10","16576.83611653646","91613.44055989584","81768.57233072916","21.2552007039388"
"2022-12-17 03:20","16569.153092447916","91601.23756510417","81762.13229166667","21.249186197916668"
"2022-12-17 03:30","16555.563232421875","91568.06744791666","81737.3869140625","21.068652788798016"
"2022-12-17 03:40","16555.035188802085","91560.33209635416","81729.76106770833","21.05029551188151"
"2022-12-17 03:50","16555.4634765625","91567.95911458334","81733.6974609375","21.170721435546874"
"2022-12-17 04:00","16561.091276041665","91573.134765625","81738.73059895834","21.267544428507488"
"2022-12-17 04:10","16569.384895833333","91574.0423828125","81741.87740885417","21.317898432413738"
"2022-12-17 04:20","16576.006770833334","91578.978125","81745.1607421875","21.340802510579426"
"2022-12-17 04:30","16578.587662760416","91588.13984375","81749.369921875","21.3543701171875"
"2022-12-17 04:40","16577.79363606771","91595.11829427084","81754.051171875","21.35975519816081"
"2022-12-17 04:50","16581.060091145835","91611.92122395833","81770.31328125","21.30894660949707"
"2022-12-17 05:00","16582.014811197918","91608.97018229167","81770.08763020833","21.27520243326823"
"2022-12-17 05:10","16564.63605143229","91583.736328125","81746.13997395833","21.088339551289877"
"2022-12-17 05:20","16556.044189453125","91573.38678385416","81735.59733072917","21.079388936360676"
"2022-12-17 05:30","16562.450260416666","91575.06380208333","81737.876171875","21.20684108734131"
"2022-12-17 05:40","16570.918815104167","91576.3353515625","81742.90436197916","21.324017842610676"
