Date,p1ex_position,p1ey_position,p1ex_width,p1ey_width
2021-08-20,-0.731,0.1364,0.9973,1.0607
2021-08-24,-0.708,0.128,0.999,1.065
2021-08-25,-0.698,0.1173,1.0004,1.0776
2021-08-26,-0.7062,0.1686,0.9985,1.0707
2021-08-27,-0.7091,0.0633,0.9974,1.0982
2021-08-30,-0.7098,0.0416,0.9937,1.0923
2021-09-07,-0.7027,0.0259,0.9978,1.1088
2021-09-08,-0.7085,0.0945,0.9978,1.0915
2021-09-09,-0.7085,0.0836,0.9988,1.0952
2021-09-10,-0.7044,0.0921,0.9986,1.0955
2021-09-13,-0.6976,0.0955,0.9905,1.0823
2021-09-14,-0.6905,0.007,1.0022,1.1123
2021-09-15,-0.8678,-0.0289,0.9963,1.0817
2021-09-16,-0.6949,0.0977,1.0026,1.0923
2021-09-17,-0.7153,0.105,1.0004,1.0916
2021-09-25,-0.726,0.1489,1.0001,1.0691
2021-10-06,-0.6839,0.1239,0.9994,1.0769
2021-10-07,-0.6846,0.1153,0.9984,1.0748
2021-10-08,-0.6857,0.1412,0.9974,1.0623
2021-10-09,-0.6874,0.1515,0.9976,1.0536
2021-10-14,-0.6945,0.1443,0.9969,1.0524
2021-10-18,-0.6801,0.1118,0.9988,1.0734
2021-10-20,-0.7068,0.1601,0.9988,1.0543
2021-10-21,-0.7923,0.0437,0.9962,1.0646
2021-10-27,-0.6587,0.1027,0.9987,1.0718
2021-10-29,-0.6544,0.1078,0.9985,1.0691
2021-11-03,-0.6682,0.0037,0.9986,1.1039
2021-11-05,-0.6664,0.0439,0.9986,1.0988
2021-11-08,-0.6624,0.0794,0.9987,1.0869
2021-11-09,-0.6574,0.0597,0.9972,1.0897
2021-11-10,-0.6638,0.0316,0.9976,1.1032
2021-11-11,-0.6619,0.079,0.9983,1.092
2021-11-12,-0.6555,0.0767,1.0007,1.0878
2021-11-16,-0.6682,0.0927,0.9996,1.0747
2021-11-17,-0.6527,0.0008,1.0001,1.1073
2021-11-18,-0.6544,0.0904,0.9995,1.0712
2021-11-25,-0.6723,0.0595,0.9981,1.0829
2021-11-29,-0.672,0.1325,1.0008,1.0431
2021-11-30,-0.6658,0.1191,0.9994,1.0431
2021-12-01,-0.6683,0.137,0.9995,1.0486
2021-12-02,-0.6675,0.1354,0.9997,1.0413
2021-12-03,-0.662,0.1379,1.0002,1.0431
2021-12-08,-0.6668,0.1108,0.998,1.053
2021-12-09,-0.6703,0.1185,0.9984,1.0486
2021-12-10,-0.6715,0.0995,0.9979,1.0515
2021-12-11,-0.6841,0.1162,0.9979,1.0488
2021-12-13,-0.6801,0.1236,0.9979,1.0452
2021-12-14,-0.6753,0.0892,0.9976,1.0491
2021-12-15,-0.6748,0.1151,0.9974,1.0461
2021-12-16,-0.6848,0.1156,0.9961,1.0507
2021-12-17,-0.69,0.115,0.9974,1.0476
2021-12-18,-0.6937,0.1079,0.9972,1.0458
2021-12-20,-0.6952,0.1197,0.9969,1.046
2021-12-21,-0.6992,0.1108,0.9966,1.053
2021-12-22,-0.7058,0.098,0.9955,1.0597
2021-12-23,-0.7036,0.0896,0.9958,1.069
2021-12-24,-0.7459,0.0288,0.9961,1.0732
2021-12-27,-0.7131,0.0462,0.9962,1.097
2021-12-28,-0.8713,-0.1065,0.9961,1.102
2021-12-29,-0.72,0.0311,0.9956,1.1007
2021-12-30,-0.7235,0.0478,0.9952,1.0978
2021-12-31,-0.7314,0.0506,0.9944,1.0976
2022-01-05,-0.7238,0.0444,0.9946,1.0978
2022-01-11,-0.7339,0.0591,0.9944,1.0977
2022-01-12,-0.8476,-0.0667,0.9944,1.1008
2022-01-13,-0.7417,0.0727,0.9952,1.0935
2022-01-14,-0.741,0.0604,0.995,1.0966
2022-01-17,-0.7376,0.0775,0.9952,1.0928
2022-01-18,-0.7365,0.0705,0.9952,1.0955
2022-01-19,-0.7382,0.0843,0.9943,1.088
2022-01-21,-0.7431,0.0943,0.995,1.0802
2022-01-22,-0.7433,0.0865,0.9949,1.0801
2022-01-24,-0.7493,0.0525,0.996,1.1032
2022-01-26,-0.7396,0.0454,0.9951,1.0963
2022-01-27,-0.7391,0.1096,0.9972,1.0618
2022-01-28,-0.7461,0.1146,0.9958,1.0637
2022-02-07,-0.7452,0.0219,0.9966,1.1059
2022-02-08,-0.7386,0.0191,0.9961,1.1076
2022-02-09,-0.7419,-0.0042,0.9974,1.1063
2022-02-10,-0.7338,-0.0115,0.9972,1.1079
2022-02-11,-0.7379,-0.0119,0.9964,1.1053
2022-02-14,-0.7645,-0.0717,0.9953,1.1002
2022-02-15,-0.9807,-0.2087,0.996,1.108
2022-02-16,-0.7466,-0.0261,0.9937,1.1063
2022-02-17,-0.7532,-0.022,0.9949,1.1061
2022-02-18,-0.7456,-0.0142,0.9954,1.1047
2022-02-21,-0.8478,-0.1562,0.9983,1.1071
2022-02-23,-0.7729,-0.001,0.9961,1.104
2022-02-24,-0.7566,0.0001,0.9948,1.1045
2022-02-25,-0.7494,-0.0066,0.9958,1.1034
2022-02-26,-0.7749,0.0063,0.9957,1.1015
2022-03-08,-0.7352,0.0052,0.9937,1.1006
2022-03-09,-0.7422,0.0077,0.9941,1.1001
2022-03-11,-0.7417,-0.0167,0.9935,1.1026
2022-03-18,-0.8019,0.0026,0.9957,1.1031
2022-03-22,-0.7785,-0.0211,0.9948,1.1057
2022-03-30,-0.7935,-0.0232,0.994,1.1035
2022-04-01,-0.837,-0.0665,0.9929,1.1051
2022-04-11,-0.7798,0.0273,0.995,1.0888
2022-04-13,-0.9233,-0.1318,0.9945,1.093
2022-04-14,-0.7674,0.0207,0.9939,1.0937
2022-04-19,-0.8056,-0.0198,0.9938,1.095
2022-04-20,-0.8298,0.0017,0.9936,1.0969
2022-04-21,-1.0239,-0.0648,0.9938,1.0942
2022-04-22,-0.7695,0.0109,0.9933,1.094
2022-04-25,-0.7742,0.0177,0.9925,1.0923
2022-04-27,-0.7684,0.0089,0.9946,1.1011
2022-04-29,-0.7703,0.0304,0.9937,1.0936
2022-05-03,-0.7807,-0.0441,0.9943,1.11
